id;code;name;province_code
1;1;San José;1
2;2;Escazú;1
3;3;Desamparados;1
4;4;Puriscal;1
5;5;Tarrazú;1
6;6;Aserrí;1
7;7;Mora;1
8;8;Goicoechea;1
9;9;Santa Ana;1
10;10;Alajuelita;1
11;11;Vásquez de Coronado;1
12;12;Acosta;1
13;13;Tibás;1
14;14;Moravia;1
15;15;Montes de Oca;1
16;16;Turrubares;1
17;17;Dota;1
18;18;Curridabat;1
19;19;Pérez Zeledón;1
20;20;León Cortéz Castro;1
21;1;Alajuela;2
22;2;San Ramón;2
23;3;Grecia;2
24;4;San Mateo;2
25;5;Atenas;2
26;6;Naranjo;2
27;7;Palmares;2
28;8;Poás;2
29;9;Orotina;2
30;10;San Carlos;2
31;11;Zarcero;2
32;12;Valverde Vega;2
33;13;Upala;2
34;14;Los Chiles;2
35;15;Guatuso;2
36;1;Cartago;3
37;2;Paraíso;3
38;3;La Unión;3
39;4;Jiménez;3
40;5;Turrialba;3
41;6;Alvarado;3
42;7;Oreamuno;3
43;8;El Guarco;3
44;1;Heredia;4
45;2;Barva;4
46;3;Santo Domingo;4
47;4;Santa Bárbara;4
48;5;San Rafaél;4
49;6;San Isidro;4
50;7;Belén;4
51;8;Flores;4
52;9;San Pablo;4
53;10;Sarapiquí;4
54;1;Liberia;5
55;2;Nicoya;5
56;3;Santa Cruz;5
57;4;Bagaces;5
58;5;Carrillo;5
59;6;Cañas;5
60;7;Abangáres;5
61;8;Tilarán;5
62;9;Nandayure;5
63;10;La Cruz;5
64;11;Hojancha;5
65;1;Puntarenas;6
66;2;Esparza;6
67;3;Buenos Aires;6
68;4;Montes de Oro;6
69;5;Osa;6
70;6;Aguirre;6
71;7;Golfito;6
72;8;Coto Brus;6
73;9;Parrita;6
74;10;Corredores;6
75;11;Garabito;6
76;1;Limón;7
77;2;Pococí;7
78;3;Siquirres;7
79;4;Talamanca;7
80;5;Matina;7
81;6;Guácimo;7
