id;code;name;province_code;canton_code
1;1;CARMEN;1;1
2;2;MERCED;1;1
3;3;HOSPITAL;1;1
4;4;CATEDRAL;1;1
5;5;ZAPOTE;1;1
6;6;SAN FRANCISCO DE DOS RÍOS;1;1
7;7;URUCA;1;1
8;8;MATA REDONDA;1;1
9;9;PAVAS;1;1
10;10;HATILLO;1;1
11;11;SAN SEBASTIÁN;1;1
12;1;ESCAZÚ;1;2
13;2;SAN ANTONIO;1;2
14;3;SAN RAFAEL;1;2
15;1;DESAMPARADOS;1;3
16;2;SAN MIGUEL;1;3
17;3;SAN JUAN DE DIOS;1;3
18;4;SAN RAFAEL ARRIBA;1;3
19;5;SAN ANTONIO;1;3
20;6;FRAILES;1;3
21;7;PATARRÁ;1;3
22;8;SAN CRISTÓBAL;1;3
23;9;ROSARIO;1;3
24;10;DAMAS;1;3
25;11;SAN RAFAEL ABAJO;1;3
26;12;GRAVILIAS;1;3
27;13;LOS GUIDO;1;3
28;1;SANTIAGO;1;4
29;2;MERCEDES SUR;1;4
30;3;BARBACOAS;1;4
31;4;GRIFO ALTO;1;4
32;5;SAN RAFAEL;1;4
33;6;CANDELARITA;1;4
34;7;DESAMPARADITOS;1;4
35;8;SAN ANTONIO;1;4
36;9;CHIRES;1;4
37;1;SAN MARCOS;1;5
38;2;SAN LORENZO;1;5
39;3;SAN CARLOS;1;5
40;1;ASERRI;1;6
41;2;TARBACA;1;6
42;3;VUELTA DE JORCO;1;6
43;4;SAN GABRIEL;1;6
44;5;LEGUA;1;6
45;6;MONTERREY;1;6
46;7;SALITRILLOS;1;6
47;1;COLÓN;1;7
48;2;GUAYABO;1;7
49;3;TABARCIA;1;7
50;4;PIEDRAS NEGRAS;1;7
51;5;PICAGRES;1;7
52;6;JARIS;1;7
53;7;QUITIRRISI;1;7
54;1;GUADALUPE;1;8
55;2;SAN FRANCISCO;1;8
56;3;CALLE BLANCOS;1;8
57;4;MATA DE PLÁTANO;1;8
58;5;IPÍS;1;8
59;6;RANCHO REDONDO;1;8
60;7;PURRAL;1;8
61;1;SANTA ANA;1;9
62;2;SALITRAL;1;9
63;3;POZOS;1;9
64;4;URUCA;1;9
65;5;PIEDADES;1;9
66;6;BRASIL;1;9
67;1;ALAJUELITA;1;10
68;2;SAN JOSECITO;1;10
69;3;SAN ANTONIO;1;10
70;4;CONCEPCIÓN;1;10
71;5;SAN FELIPE;1;10
72;1;SAN ISIDRO;1;11
73;2;SAN RAFAEL;1;11
74;3;DULCE NOMBRE DE JESÚS;1;11
75;4;PATALILLO;1;11
76;5;CASCAJAL;1;11
77;1;SAN IGNACIO;1;12
78;2;GUAITIL Villa;1;12
79;3;PALMICHAL;1;12
80;4;CANGREJAL;1;12
81;5;SABANILLAS;1;12
82;1;SAN JUAN;1;13
83;2;CINCO ESQUINAS;1;13
84;3;ANSELMO LLORENTE;1;13
85;4;LEON XIII;1;13
86;5;COLIMA;1;13
87;1;SAN VICENTE;1;14
88;2;SAN JERÓNIMO;1;14
89;3;LA TRINIDAD;1;14
90;1;SAN PEDRO;1;15
91;2;SABANILLA;1;15
92;3;MERCEDES;1;15
93;4;SAN RAFAEL;1;15
94;1;SAN PABLO;1;16
95;2;SAN PEDRO;1;16
96;3;SAN JUAN DE MATA;1;16
97;4;SAN LUIS;1;16
98;5;CARARA;1;16
99;1;SANTA MARÍA;1;17
100;2;JARDÍN;1;17
101;3;COPEY;1;17
102;1;CURRIDABAT;1;18
103;2;GRANADILLA;1;18
104;3;SÁNCHEZ;1;18
105;4;TIRRASES;1;18
106;1;SAN ISIDRO DE EL GENERAL;1;19
107;2;EL GENERAL;1;19
108;3;DANIEL FLORES;1;19
109;4;RIVAS;1;19
110;5;SAN PEDRO;1;19
111;6;PLATANARES;1;19
112;7;PEJIBAYE;1;19
113;8;CAJÓN;1;19
114;9;BARÚ;1;19
115;10;RÍO NUEVO;1;19
116;11;PÁRAMO;1;19
117;1;SAN PABLO;1;20
118;2;SAN ANDRÉS;1;20
119;3;LLANO BONITO;1;20
120;4;SAN ISIDRO;1;20
121;5;SANTA CRUZ;1;20
122;6;SAN ANTONIO;1;20
123;1;ALAJUELA;2;1
124;2;SAN JOSÉ;2;1
125;3;CARRIZAL;2;1
126;4;SAN ANTONIO;2;1
127;5;GUÁCIMA;2;1
128;6;SAN ISIDRO;2;1
129;7;SABANILLA;2;1
130;8;SAN RAFAEL;2;1
131;9;RÍO SEGUNDO;2;1
132;10;DESAMPARADOS;2;1
133;12;TAMBOR;2;1
134;13;GARITA;2;1
135;14;SARAPIQUÍ;2;1
136;11;TURRÚCARES;2;1
137;1;SAN RAMÓN;2;2
138;2;SANTIAGO;2;2
139;3;SAN JUAN;2;2
140;4;PIEDADES NORTE;2;2
141;5;PIEDADES SUR;2;2
142;6;SAN RAFAEL;2;2
143;7;SAN ISIDRO;2;2
144;8;ÁNGELES;2;2
145;9;ALFARO;2;2
146;10;VOLIO;2;2
147;11;CONCEPCIÓN;2;2
148;12;ZAPOTAL;2;2
149;13;PEÑAS BLANCAS;2;2
150;1;GRECIA;2;3
151;2;SAN ISIDRO;2;3
152;3;SAN JOSÉ;2;3
153;4;SAN ROQUE;2;3
154;5;TACARES;2;3
155;6;RÍO CUARTO;2;3
156;7;PUENTE DE PIEDRA;2;3
157;8;BOLÍVAR;2;3
158;1;SAN MATEO;2;4
159;2;DESMONTE;2;4
160;3;JESÚS MARÍA;2;4
161;4;LABRADOR;2;4
162;1;ATENAS;2;5
163;2;JESÚS;2;5
164;3;MERCEDES;2;5
165;4;SAN ISIDRO;2;5
166;5;CONCEPCIÓN;2;5
167;6;SAN JOSE;2;5
168;7;SANTA EULALIA;2;5
169;8;ESCOBAL;2;5
170;1;NARANJO;2;6
171;2;SAN MIGUEL;2;6
172;3;SAN JOSÉ;2;6
173;4;CIRRÍ SUR;2;6
174;5;SAN JERÓNIMO;2;6
175;6;SAN JUAN;2;6
176;7;EL ROSARIO;2;6
177;8;PALMITOS;2;6
178;1;PALMARES;2;7
179;2;ZARAGOZA;2;7
180;3;BUENOS AIRES;2;7
181;4;SANTIAGO;2;7
182;5;CANDELARIA;2;7
183;6;ESQUÍPULAS;2;7
184;7;LA GRANJA;2;7
185;1;SAN PEDRO;2;8
186;2;SAN JUAN;2;8
187;3;SAN RAFAEL;2;8
188;4;CARRILLOS;2;8
189;5;SABANA REDONDA;2;8
190;1;OROTINA;2;9
191;2;EL MASTATE;2;9
192;3;HACIENDA VIEJA;2;9
193;4;COYOLAR;2;9
194;5;LA CEIBA;2;9
195;1;QUESADA;2;10
196;2;FLORENCIA;2;10
197;3;BUENAVISTA;2;10
198;4;AGUAS ZARCAS;2;10
199;5;VENECIA;2;10
200;6;PITAL;2;10
201;7;LA FORTUNA;2;10
202;8;LA TIGRA;2;10
203;9;LA PALMERA;2;10
204;10;VENADO;2;10
205;11;CUTRIS;2;10
206;12;MONTERREY;2;10
207;13;POCOSOL;2;10
208;1;ZARCERO;2;11
209;2;LAGUNA;2;11
210;4;GUADALUPE;2;11
211;5;PALMIRA;2;11
212;6;ZAPOTE;2;11
213;7;BRISAS;2;11
214;1;SARCHÍ NORTE;2;12
215;2;SARCHÍ SUR;2;12
216;3;TORO AMARILLO;2;12
217;4;SAN PEDRO;2;12
218;5;RODRÍGUEZ;2;12
219;1;UPALA;2;13
220;2;AGUAS CLARAS;2;13
221;3;SAN JOSÉ o PIZOTE;2;13
222;4;BIJAGUA;2;13
223;5;DELICIAS;2;13
224;6;DOS RÍOS;2;13
225;7;YOLILLAL;2;13
226;8;CANALETE;2;13
227;1;LOS CHILES;2;14
228;2;CAÑO NEGRO;2;14
229;3;EL AMPARO;2;14
230;4;SAN JORGE;2;14
231;2;BUENAVISTA;2;15
232;3;COTE;2;15
233;4;KATIRA;2;15
234;1;ORIENTAL;3;1
235;2;OCCIDENTAL;3;1
236;3;CARMEN;3;1
237;4;SAN NICOLÁS;3;1
238;5;AGUACALIENTE o SAN FRANCISCO;3;1
239;6;GUADALUPE o ARENILLA;3;1
240;7;CORRALILLO;3;1
241;8;TIERRA BLANCA;3;1
242;9;DULCE NOMBRE;3;1
243;10;LLANO GRANDE;3;1
244;11;QUEBRADILLA;3;1
245;1;PARAÍSO;3;2
246;2;SANTIAGO;3;2
247;3;OROSI;3;2
248;4;CACHÍ;3;2
249;5;LLANOS DE SANTA LUCÍA;3;2
250;1;TRES RÍOS;3;3
251;2;SAN DIEGO;3;3
252;3;SAN JUAN;3;3
253;4;SAN RAFAEL;3;3
254;5;CONCEPCIÓN;3;3
255;6;DULCE NOMBRE;3;3
256;7;SAN RAMÓN;3;3
257;8;RÍO AZUL;3;3
258;1;JUAN VIÑAS;3;4
259;2;TUCURRIQUE;3;4
260;3;PEJIBAYE;3;4
261;1;TURRIALBA;3;5
262;2;LA SUIZA;3;5
263;3;PERALTA;3;5
264;4;SANTA CRUZ;3;5
265;5;SANTA TERESITA;3;5
266;6;PAVONES;3;5
267;7;TUIS;3;5
268;8;TAYUTIC;3;5
269;9;SANTA ROSA;3;5
270;10;TRES EQUIS;3;5
271;11;LA ISABEL;3;5
272;12;CHIRRIPÓ;3;5
273;1;PACAYAS;3;6
274;2;CERVANTES;3;6
275;3;CAPELLADES;3;6
276;1;SAN RAFAEL;3;7
277;2;COT;3;7
278;3;POTRERO CERRADO;3;7
279;4;CIPRESES;3;7
280;5;SANTA ROSA;3;7
281;1;EL TEJAR;3;8
282;2;SAN ISIDRO;3;8
283;3;TOBOSI;3;8
284;4;PATIO DE AGUA;3;8
285;1;HEREDIA;4;1
286;2;MERCEDES;4;1
287;3;SAN FRANCISCO;4;1
288;4;ULLOA;4;1
289;5;VARABLANCA;4;1
290;1;BARVA;4;2
291;2;SAN PEDRO;4;2
292;3;SAN PABLO;4;2
293;4;SAN ROQUE;4;2
294;5;SANTA LUCÍA;4;2
295;6;SAN JOSÉ DE LA MONTAÑA;4;2
296;2;SAN VICENTE;4;3
297;3;SAN MIGUEL;4;3
298;4;PARACITO;4;3
299;5;SANTO TOMÁS;4;3
300;6;SANTA ROSA;4;3
301;7;TURES;4;3
302;8;PARÁ;4;3
303;1;SANTA BÁRBARA;4;4
304;2;SAN PEDRO;4;4
305;3;SAN JUAN;4;4
306;4;JESÚS;4;4
307;5;SANTO DOMINGO;4;4
308;6;PURABÁ;4;4
309;1;SAN RAFAEL;4;5
310;2;SAN JOSECITO;4;5
311;3;SANTIAGO;4;5
312;4;ÁNGELES;4;5
313;5;CONCEPCIÓN;4;5
314;1;SAN ISIDRO;4;6
315;2;SAN JOSÉ;4;6
316;3;CONCEPCIÓN;4;6
317;4;SAN FRANCISCO;4;6
318;1;SAN ANTONIO;4;7
319;2;LA RIBERA;4;7
320;3;LA ASUNCIÓN;4;7
321;1;SAN JOAQUÍN;4;8
322;2;BARRANTES;4;8
323;3;LLORENTE;4;8
324;1;SAN PABLO;4;9
325;1;PUERTO VIEJO;4;10
326;2;LA VIRGEN;4;10
327;3;LAS HORQUETAS;4;10
328;4;LLANURAS DEL GASPAR;4;10
329;5;CUREÑA;4;10
330;1;LIBERIA;5;1
331;2;CAÑAS DULCES;5;1
332;3;MAYORGA;5;1
333;4;NACASCOLO;5;1
334;5;CURUBANDÉ;5;1
335;1;NICOYA;5;2
336;2;MANSIÓN;5;2
337;3;SAN ANTONIO;5;2
338;4;QUEBRADA HONDA;5;2
339;5;SÁMARA;5;2
340;6;NOSARA;5;2
341;7;BELÉN DE NOSARITA;5;2
342;1;SANTA CRUZ;5;3
343;2;BOLSÓN;5;3
344;3;VEINTISIETE DE ABRIL;5;3
345;4;TEMPATE;5;3
346;5;CARTAGENA;5;3
347;6;CUAJINIQUIL;5;3
348;7;DIRIÁ;5;3
349;8;CABO VELAS;5;3
350;9;TAMARINDO;5;3
351;1;BAGACES;5;4
352;2;LA FORTUNA;5;4
353;3;MOGOTE;5;4
354;4;RÍO NARANJO;5;4
355;1;FILADELFIA;5;5
356;2;PALMIRA;5;5
357;3;SARDINAL;5;5
358;4;BELÉN;5;5
359;1;CAÑAS;5;6
360;2;PALMIRA;5;6
361;3;SAN MIGUEL;5;6
362;4;BEBEDERO;5;6
363;5;POROZAL;5;6
364;1;LAS JUNTAS;5;7
365;2;SIERRA;5;7
366;3;SAN JUAN;5;7
367;4;COLORADO;5;7
368;1;TILARÁN;5;8
369;2;QUEBRADA GRANDE;5;8
370;3;TRONADORA;5;8
371;4;SANTA ROSA;5;8
372;5;LÍBANO;5;8
373;6;TIERRAS MORENAS;5;8
374;7;ARENAL;5;8
375;1;CARMONA;5;9
376;2;SANTA RITA;5;9
377;3;ZAPOTAL;5;9
378;4;SAN PABLO;5;9
379;5;PORVENIR;5;9
380;6;BEJUCO;5;9
381;1;LA CRUZ;5;10
382;2;SANTA CECILIA;5;10
383;3;LA GARITA;5;10
384;4;SANTA ELENA;5;10
385;1;HOJANCHA;5;11
386;2;MONTE ROMO;5;11
387;3;PUERTO CARRILLO;5;11
388;4;HUACAS;5;11
389;1;PUNTARENAS;6;1
390;2;PITAHAYA;6;1
391;3;CHOMES;6;1
392;4;LEPANTO;6;1
393;5;PAQUERA;6;1
394;6;MANZANILLO;6;1
395;7;GUACIMAL;6;1
396;8;BARRANCA;6;1
397;9;MONTE VERDE;6;1
398;11;CÓBANO;6;1
399;12;CHACARITA;6;1
400;13;CHIRA;6;1
401;14;ACAPULCO;6;1
402;15;EL ROBLE;6;1
403;16;ARANCIBIA;6;1
404;1;ESPÍRITU SANTO;6;2
405;2;SAN JUAN GRANDE;6;2
406;3;MACACONA;6;2
407;4;SAN RAFAEL;6;2
408;5;SAN JERÓNIMO;6;2
409;6;CALDERA;6;2
410;1;BUENOS AIRES;6;3
411;2;VOLCÁN;6;3
412;3;POTRERO GRANDE;6;3
413;4;BORUCA;6;3
414;5;PILAS;6;3
415;6;COLINAS;6;3
416;7;CHÁNGUENA;6;3
417;8;BIOLLEY;6;3
418;9;BRUNKA;6;3
419;1;MIRAMAR;6;4
420;2;LA UNIÓN;6;4
421;3;SAN ISIDRO;6;4
422;1;PUERTO CORTÉS;6;5
423;2;PALMAR;6;5
424;3;SIERPE;6;5
