id;code;name;province_code;canton_code;district_code
1;1;Amón;1;1;1
2;2;Aranjuez;1;1;1
3;3;California (parte);1;1;1
4;4;Carmen;1;1;1
5;5;Empalme;1;1;1
6;6;Escalante;1;1;1
7;7;Otoya;1;1;1
8;1;Bajos de la Unión;1;1;2
9;2;Claret;1;1;2
10;3;Cocacola;1;1;2
11;4;Iglesias Flores;1;1;2
12;5;Mantica;1;1;2
13;6;México;1;1;2
14;7;Paso de la Vaca;1;1;2
15;8;Pitahaya;1;1;2
16;1;Almendares;1;1;3
17;2;Ángeles;1;1;3
18;3;Bolívar;1;1;3
19;4;Carit;1;1;3
20;5;Colón (parte);1;1;3
21;6;Corazón de Jesús;1;1;3
22;7;Cristo Rey;1;1;3
23;8;Cuba;1;1;3
24;9;Dolorosa (parte);1;1;3
25;10;Merced;1;1;3
26;11;Pacífico (parte);1;1;3
27;12;Pinos;1;1;3
28;13;Salubridad;1;1;3
29;14;San Bosco;1;1;3
30;15;San Francisco;1;1;3
31;16;Santa Lucía;1;1;3
32;17;Silos;1;1;3
33;1;Bellavista;1;1;4
34;2;California (parte);1;1;4
35;3;Carlos María Jiménez;1;1;4
36;4;Dolorosa (parte);1;1;4
37;5;Dos Pinos;1;1;4
38;6;Francisco Peralta (parte);1;1;4
39;7;González Lahmann;1;1;4
40;8;González Víquez;1;1;4
41;9;Güell;1;1;4
42;10;La Cruz;1;1;4
43;11;Lomas de Ocloro;1;1;4
44;12;Luján;1;1;4
45;13;Milflor;1;1;4
46;14;Naciones Unidas;1;1;4
47;15;Pacífico (parte);1;1;4
48;16;San Cayetano (parte);1;1;4
49;17;Soledad;1;1;4
50;18;Tabacalera;1;1;4
51;19;Vasconia.;1;1;4
52;1;Alborada;1;1;5
53;2;Calderón Muñoz;1;1;5
54;3;Cerrito;1;1;5
55;4;Córdoba;1;1;5
56;5;Gloria;1;1;5
57;6;Jardín;1;1;5
58;7;Luisas;1;1;5
59;8;Mangos;1;1;5
60;9;Montealegre;1;1;5
61;10;Moreno Cañas;1;1;5
62;11;Quesada Durán;1;1;5
63;12;San Dimas;1;1;5
64;13;San Gerardo (parte);1;1;5
65;14;Trébol;1;1;5
66;15;Ujarrás;1;1;5
67;16;Vista Hermosa;1;1;5
68;17;Yoses Sur;1;1;5
69;18;Zapote (centro).;1;1;5
70;1;Ahogados (parte);1;1;6
71;2;Bosque;1;1;6
72;3;Cabañas;1;1;6
73;4;Camelias;1;1;6
74;5;Coopeguaria;1;1;6
75;6;Faro;1;1;6
76;7;Fátima;1;1;6
77;8;Hispano;1;1;6
78;9;I Griega;1;1;6
79;10;Lincoln;1;1;6
80;11;Lomas de San Francisco;1;1;6
81;12;Maalot;1;1;6
82;13;Méndez;1;1;6
83;14;Pacífica;1;1;6
84;15;San Francisco de Dos Ríos (centro);1;1;6
85;16;Sauces;1;1;6
86;17;Saucitos;1;1;6
87;18;Zurquí.;1;1;6
88;1;Alborada;1;1;7
89;2;Ánimas;1;1;7
90;3;Árboles;1;1;7
91;4;Bajos del Torres;1;1;7
92;5;Carranza;1;1;7
93;6;Corazón de Jesús;1;1;7
94;7;Cristal;1;1;7
95;8;Carvajal Castro;1;1;7
96;9;Jardines de Autopista;1;1;7
97;10;La Caja;1;1;7
98;11;La Carpio;1;1;7
99;12;Magnolia;1;1;7
100;13;Marimil;1;1;7
101;14;Monserrat;1;1;7
102;15;Peregrina;1;1;7
103;16;Robledal;1;1;7
104;17;Rossiter Carballo;1;1;7
105;18;Santander;1;1;7
106;19;Saturno;1;1;7
107;20;Uruca (centro);1;1;7
108;21;Vuelta del Virilla.;1;1;7
109;1;Américas;1;1;8
110;2;Bajo Cañada (parte);1;1;8
111;3;Balcón Verde;1;1;8
112;4;Colón (parte);1;1;8
113;5;Del Pino;1;1;8
114;6;Holanda;1;1;8
115;7;La Luisa;1;1;8
116;8;La Salle;1;1;8
117;9;Lomalinda;1;1;8
118;10;Morenos;1;1;8
119;11;Niza;1;1;8
