id;code;description;unit;fractioned;barcode;internal_barcode;supplier_code;model;part_number;brand_code;inventory_enabled;inventory_minimum;inventory_maximum;inventory_negative;cost;cost_based;utility;utility2;utility3;price;price2;price3;sell_price;sell_price2;sell_price3;ask_price;pred_discount;max_sale_discount;on_sale;is_active;consignment;generic;image;observations;department;subdepartment;use_taxes;taxes;tax_code;use_taxes2;taxes2;tax_code2;use_taxes3;taxes3;tax_code3;created;updated
fb7224c0-151f-4140-bbc3-1d99ce3a8864;10000;CODIGO DESCONOCIDO;Unidad;0;;;;?;;;1.00;0.00;1000.00;0.00;0.00;;40.00;40.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
09127bec-9baf-402f-bc39-7fb015fd832d;10001;TIMER DEFROST 10H-24M 120V 60HZ;UND;0;;;WR01F03480;12 horas 33 min.;;;1.00;2.00;12.00;0.00;4300.00;;40.00;40.00;;6637.17;6637.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
f874b742-3b9b-462b-be52-b8ddad985451;10002;AGITATOR KIT REPARADOR 285809;UND;0;;;953060;ATW-70;;;1.00;1.00;3.00;0.00;3737.50;;35.00;35.00;;3097.35;3097.35;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
cf370cf5-c5dd-45ae-83bc-f61983ef594d;10003;"RESIST HORNO INF 2200 W/220V 30""";UND;0;;;294078RSC IM-ES 6112200;"ATLAS 30""";;;1.00;1.00;12.00;0.00;11000.00;;35.00;35.00;;16371.68;16371.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
26f43d9c-67bc-4928-8c45-c2e1c090a69d;10004;MEMBRANA MICR ATLAS CEJA ANCHA MB6773 (952979);UND;0;;;952979;MB6773;;;1.00;1.00;3.00;0.00;7448.98;;35.00;35.00;;13274.34;13274.34;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
3487f138-17af-45a8-b677-7336c489772d;10005;EMP REF ESPEC J-UNIVERSAL 118X58 (DISPONIBLE);UND;0;;;;CMS-11;;;1.00;1.00;6.00;0.00;4058982.00;;35.00;35.00;;5752.21;5752.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
2a20ff29-5499-46e6-a030-152003bd57d2;10006;RESIST HORNO SUP. 1200W-110V;UND;0;;;RCR23 / 291507RSC;1200W-110V;;;1.00;3.00;12.00;0.00;3496.50;;35.00;35.00;;8407.08;8407.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
d9da5063-7cfc-4a4d-abef-b88d41ec6692;10007;MOTOR ABANICO 16W 115V;und;0;;;1417.16 / NUV-016;NUV-016;;;1.00;1.00;12.00;0.00;8830.00;;35.00;35.00;;13053.10;13053.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
c0f5232a-9bf0-4370-8f64-dd00ebda3d66;10008;RELAY-PROTECTOR MOTOR REF 1/6 (5.5);UND;0;;;RER03;1-jun;;;1.00;2.00;6.00;0.00;1471878.00;;35.00;35.00;;2123.89;2123.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
e69c939c-aec4-4cca-a690-7a472856fd15;10009;CONTROL T. REF ATLAS PUSH BOTON MILENIO 1PTA CV#20;und;0;;;RCT20;MILENIO 1 PUERTA;;;1.00;4.00;12.00;0.00;2790.00;;35.00;35.00;;4203.00;4203.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
f56e018b-8f1f-4b4c-a00b-edc4354987de;10010;BUSHING PUERTA REF ATLAS;UND;0;;;724324;REFRIGERADORA;;;1.00;25.00;100.00;0.00;2278447.00;;35.00;35.00;;398.23;398.23;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
8dfaad19-55fe-4ed0-a353-621bc0cd79de;10011;CONTROL T. REF ATLAS MIL. 2PTAS (ADAPTABLE) C# VD 4;UND;0;;;WR01F03503;ARFC136ADWAA1A;;;1.00;4.00;12.00;0.00;6368034.00;;35.00;35.00;;8805.31;8805.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
e59ee385-2efa-473c-943e-05daac27338e;10012;EMP REF AMS-106 (51 X 116) 950104;und;0;;;950104;AMS;;;1.00;1.00;6.00;0.00;3890.00;;35.00;35.00;;5752.21;5752.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
1c793ece-c67b-4f61-add9-cd3c2648ce03;10013;PARRILLA METAL P/PLANTILLA GAS ATLAS (DESCONTINUADO);UND;0;;;924028;GAS;;;1.00;1.00;24.00;0.00;2802.38;;35.00;35.00;;4424.78;4424.78;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
12a83b04-5085-4a09-9dd7-448b7242974b;10014;MEMBRANA MICR ATLAS (MW5572) (952931);UND;0;;;952931;ATLAS 5572;;;1.00;1.00;3.00;0.00;7638.09;;35.00;35.00;;10619.47;10619.47;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
f4499f30-fe15-4edc-b78c-20d0ebe2e130;10015;"PARRILLA NEGRA COC GAS ATLAS 30""-18"" X 9""";UND;0;;;7042101;"ATLAS 20/30""";;;1.00;1.00;12.00;0.00;4387.50;;35.00;35.00;;6946.90;6946.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;;;;;;;1.00;13.00;1.00;0.00;0.00;;0.00;0.00;;;
